+----------------+----------------+----------------+----------------+----------------+---------------------+
|    TP_Rate     |    FP_Rate     |   Precision    |     Recall     |   F-measure    |        Class        |
+----------------+----------------+----------------+----------------+----------------+---------------------+
| 0.618479880775 | 0.424410540915 | 0.575589459085 | 0.618479880775 | 0.52129471891  |  Arcade and Action  |
| 0.552054794521 | 0.496878901373 | 0.503121098627 | 0.552054794521 | 0.523339907955 | Books and Reference |
| 0.680972818312 | 0.366178428762 | 0.633821571238 | 0.680972818312 | 0.524809160305 |   Brain and Puzzle  |
| 0.450292397661 | 0.514960629921 | 0.485039370079 | 0.450292397661 | 0.481945467944 |       Business      |
| 0.863442389758 | 0.146272855134 | 0.853727144866 | 0.863442389758 | 0.509803921569 |   Cards and Casino  |
| 0.479338842975 | 0.476691729323 | 0.523308270677 | 0.479338842975 | 0.477050413845 |        Casual       |
| 0.367688022284 | 0.266666666667 | 0.733333333333 | 0.367688022284 | 0.258760107817 |        Comics       |
| 0.579608938547 | 0.451058201058 | 0.548941798942 | 0.579608938547 | 0.515105740181 |    Communication    |
| 0.561238223419 | 0.406827880512 | 0.593172119488 | 0.561238223419 | 0.483108108108 |      Education      |
| 0.264450867052 | 0.68339100346  | 0.31660899654  | 0.264450867052 | 0.466351829988 |    Entertainment    |
| 0.837606837607 | 0.220159151194 | 0.779840848806 | 0.837606837607 | 0.542483660131 |       Finance       |
| 0.634464751958 | 0.310638297872 | 0.689361702128 | 0.634464751958 | 0.467449306297 |  Health and Fitness |
| 0.417536534447 | 0.395770392749 | 0.604229607251 | 0.417536534447 | 0.389880952381 |  Libraries and Demo |
| 0.28650137741  | 0.758700696056 | 0.241299303944 | 0.28650137741  | 0.527419354839 |      Lifestyle      |
| 0.551490514905 | 0.420227920228 | 0.579772079772 | 0.551490514905 | 0.485197368421 |   Media and Video   |
| 0.681887366819 | 0.198568872987 | 0.801431127013 | 0.681887366819 | 0.409594095941 |       Medical       |
| 0.754482758621 | 0.387458006719 | 0.612541993281 | 0.754482758621 | 0.569078947368 |   Music and Audio   |
| 0.778873239437 | 0.260695187166 | 0.739304812834 | 0.778873239437 | 0.525606469003 |  News and Magazines |
| 0.794405594406 | 0.426841574168 | 0.573158425832 | 0.794405594406 | 0.597457627119 |   Personalization   |
| 0.788751714678 | 0.353205849269 | 0.646794150731 | 0.788751714678 | 0.57299270073  |     Photography     |
| 0.338414634146 | 0.591160220994 | 0.408839779006 | 0.338414634146 | 0.45955619184  |     Productivity    |
| 0.752293577982 | 0.164685908319 | 0.835314091681 | 0.752293577982 | 0.42825607064  |        Racing       |
| 0.748271092669 | 0.279627163782 | 0.720372836218 | 0.748271092669 | 0.51724137931  |       Shopping      |
| 0.542699724518 | 0.421439060206 | 0.578560939794 | 0.542699724518 | 0.481139983236 |        Social       |
| 0.605475040258 | 0.221532091097 | 0.778467908903 | 0.605475040258 | 0.378091872792 |        Sports       |
| 0.564814814815 | 0.294797687861 | 0.705202312139 | 0.564814814815 | 0.412955465587 |     Sports Games    |
| 0.434414668547 | 0.631137724551 | 0.368862275449 | 0.434414668547 | 0.531786074672 |        Tools        |
| 0.677374301676 | 0.358465608466 | 0.641534391534 | 0.677374301676 | 0.519157088123 |    Transportation   |
| 0.58064516129  | 0.413597733711 | 0.586402266289 | 0.58064516129  | 0.497021276596 |   Travel and Local  |
| 0.826446280992 | 0.164926931106 | 0.835073068894 | 0.826446280992 | 0.492211838006 |       Weather       |
+----------------+----------------+----------------+----------------+----------------+---------------------+
