+--------------+-------------------+
| feature name |  information gain |
+--------------+-------------------+
|    t4650     |   0.388201660141  |
|    t8989     |   0.165961279796  |
|    t7993     |   0.12089043095   |
|    t13114    |   0.108505414123  |
|    t8995     |   0.106223447072  |
|    t1989     |   0.105631491333  |
|    t9545     |   0.101296206332  |
|    t7108     |   0.092854654665  |
|    t4588     |  0.0928022346095  |
|    t6666     |  0.0922388983141  |
|    t10405    |  0.0917194117505  |
|    t13042    |  0.0908939348586  |
|    t8862     |  0.0905272082813  |
|    t7804     |  0.0838993893399  |
|    t7266     |   0.074461363874  |
|    t9460     |  0.0738976337941  |
|    t4411     |  0.0705800926906  |
|    t10690    |  0.0675329138073  |
|    t5844     |  0.0675219834166  |
|    t6819     |  0.0673070323748  |
|    t1814     |  0.0658530762302  |
|    t6605     |  0.0618823063026  |
|    t10841    |  0.0616335535683  |
|    t4987     |  0.0605800670027  |
|    t4952     |  0.0605377891283  |
|    t1760     |  0.0602298723497  |
|    t4658     |  0.0594546788715  |
|    t13270    |  0.0594478947339  |
|     t129     |  0.0573448288608  |
|    t11061    |  0.0558420162676  |
|    t11959    |  0.0558200820009  |
|     t70      |  0.0555714987878  |
|    t5899     |  0.0554695308812  |
|    t11206    |  0.0553997344052  |
|    t10152    |  0.0547952326193  |
|    t12881    |  0.0541276889892  |
|    t6561     |  0.0524757884584  |
|    t5279     |  0.0522199730487  |
|     t569     |   0.051955279941  |
|    t4395     |  0.0501221898587  |
|    t6365     |  0.0499297146695  |
|    t1822     |   0.048333241953  |
|    t12261    |  0.0476302561196  |
|     t591     |  0.0475735445762  |
|    t2873     |  0.0472379789105  |
|    t13232    |  0.0468740732038  |
|    t3421     |  0.0468504760454  |
|    t1014     |  0.0463802893739  |
|    t10641    |  0.0463310683156  |
|    t6788     |  0.0462161482908  |
|    t4212     |  0.0459685263072  |
|    t9272     |  0.0459005616319  |
|    t11311    |  0.0456994861348  |
|    t4536     |   0.04561403849   |
|    t8908     |  0.0447246708888  |
|    t7349     |  0.0446781384873  |
|    t6775     |  0.0443054825749  |
|    t3961     |  0.0440736006493  |
|    t2520     |  0.0433484893785  |
|    t13153    |  0.0426356383044  |
|    t1730     |  0.0426148578711  |
|    t6600     |  0.0424008432534  |
|    t7076     |  0.0422400193363  |
|    t2163     |  0.0418520972045  |
|    t3603     |  0.0418109940269  |
|    t11081    |  0.0416481921161  |
|    t12285    |  0.0413296082481  |
|     t589     |  0.0412599837434  |
|    t10905    |  0.0409853998366  |
|    t3749     |   0.040702268284  |
|    t3612     |  0.0404336766475  |
|    t12233    |  0.0397328633804  |
|    t13339    |  0.0396849486949  |
|    t3933     |  0.0396253065762  |
|    t5704     |  0.0394980465305  |
|    t7595     |  0.0394895239727  |
|    t11835    |  0.0394465760574  |
|    t1882     |  0.0389407124883  |
|    t9552     |  0.0385924861585  |
|    t9319     |   0.038539541381  |
|    t6546     |  0.0384920535722  |
|    t11930    |  0.0382236488343  |
|     t985     |  0.0381687243875  |
|    t2782     |  0.0381056369271  |
|    t10458    |  0.0380545227059  |
|    t1408     |  0.0380473418806  |
|    t10572    |  0.0380454073768  |
|     t55      |  0.0378620100459  |
|    t9656     |  0.0378269151086  |
|    t12893    |  0.0376420919011  |
|    t1383     |  0.0375197778584  |
|    t2084     |  0.0373792175571  |
|    t4644     |  0.0372749996408  |
|    t1674     |  0.0370597819028  |
|    t13350    |  0.0366753653154  |
|    t2318     |  0.0365598532786  |
|    t4044     |   0.03623117474   |
|    t10476    |  0.0361212889386  |
|    t8662     |  0.0361111589226  |
|    t9677     |  0.0357293975982  |
|    t6596     |  0.0356834476262  |
|    t11405    |  0.0353496169563  |
|    t4476     |  0.0350421284098  |
|    t13110    |  0.0349973622031  |
|    t3150     |  0.0348152425765  |
|    t12250    |  0.0347438042442  |
|    t10957    |  0.0345446528369  |
|    t6773     |  0.0344866165396  |
|    t2293     |  0.0343314541781  |
|    t8688     |  0.0343027580211  |
|    t11146    |  0.0342733866218  |
|    t7543     |  0.0340772803861  |
|    t7557     |  0.0339755625823  |
|    t1411     |  0.0339262722982  |
|    t12700    |   0.033881394027  |
|    t6072     |  0.0337532194865  |
|     t990     |  0.0335764244016  |
|    t13357    |  0.0333224140705  |
|    t2215     |  0.0332981873916  |
|    t10070    |  0.0332789226445  |
|    t10576    |  0.0332661017886  |
|    t9558     |  0.0332139121977  |
|     t807     |  0.0327924111863  |
|    t7268     |  0.0326080906946  |
|     t81      |  0.0324539933356  |
|    t5321     |  0.0323897921153  |
|    t12277    |  0.0323350836725  |
|    t11881    |  0.0323236690802  |
|    t3167     |  0.0321870762082  |
|    t10686    |  0.0320980867458  |
|    t12331    |  0.0320107665461  |
|    t12424    |  0.0320039729918  |
|     t487     |  0.0319786155449  |
|    t8853     |  0.0318227958946  |
|    t12810    |   0.031789794964  |
|    t2185     |  0.0317243417794  |
|    t2917     |  0.0316221017266  |
|    t1076     |  0.0315828349022  |
|    t9063     |  0.0312598670202  |
|    t4232     |  0.0310277556272  |
|    t6241     |  0.0309665101916  |
|    t8884     |  0.0309459806678  |
|    t11579    |  0.0309053809042  |
|    t2493     |  0.0307691392688  |
|    t7690     |  0.0306637276935  |
|    t6979     |  0.0306436240186  |
|    t9941     |  0.0305023311006  |
|    t8280     |  0.0304512460342  |
|    t3760     |  0.0304479358209  |
|    t7697     |  0.0303807491137  |
|    t1671     |  0.0303536505083  |
|    t7182     |  0.0303330891925  |
|    t3769     |  0.0302903537961  |
|    t8374     |  0.0301314433942  |
|     t304     |  0.0300482785433  |
|     t700     |   0.029893648986  |
|    t2781     |  0.0296219707132  |
|    t4084     |  0.0295811373242  |
|    t3950     |  0.0294749366916  |
|    t12601    |  0.0293265906122  |
|    t3310     |  0.0292975213112  |
|    t7766     |  0.0291573293853  |
|    t2381     |  0.0289900417614  |
|     t293     |   0.028908912941  |
|    t10427    |  0.0288507379756  |
|    t2347     |  0.0287992389049  |
|    t6519     |  0.0287319240898  |
|    t3236     |  0.0287276012137  |
|    t11379    |  0.0286892315415  |
|    t11037    |  0.0286870041063  |
|    t2001     |  0.0284683109378  |
|    t10383    |  0.0283015896985  |
|    t1114     |  0.0283002135736  |
|    t10044    |  0.0282217133553  |
|    t11440    |  0.0281912079767  |
|    t4231     |  0.0279050108346  |
|    t4234     |  0.0276982051506  |
|    t13078    |  0.0276973178808  |
|    t1488     |  0.0276853905427  |
|    t5660     |  0.0274152373656  |
|    t1750     |   0.027327942018  |
|    t10326    |  0.0272562845882  |
|    t13240    |  0.0272408554407  |
|     t176     |  0.0272405677084  |
|    t6816     |  0.0272343186068  |
|    t10524    |   0.027161980556  |
|    t11441    |  0.0270318501961  |
|    t2029     |  0.0268030127347  |
|    t3784     |   0.026770727828  |
|    t12266    |  0.0265888636068  |
|    t1739     |  0.0261155397312  |
|    t8242     |  0.0261103847714  |
|    t8643     |   0.026009980271  |
|    t8611     |  0.0259599382296  |
|    t3080     |  0.0259047846254  |
|    t2610     |  0.0258627973518  |
|    t2023     |  0.0258288960051  |
|    t10341    |  0.0257899716424  |
|    t2677     |  0.0257054114692  |
|    t2893     |  0.0256750395515  |
|    t11378    |  0.0256548283565  |
|    t10193    |  0.0256154485873  |
|     t780     |  0.0256144897012  |
|    t5081     |  0.0255344586807  |
|     t637     |  0.0255148271221  |
|    t12293    |  0.0254386437571  |
|    t11755    |  0.0254250822048  |
|    t4876     |  0.0254031253243  |
|    t13273    |  0.0252362955736  |
|    t9527     |  0.0251371748343  |
|    t4601     |   0.025133767169  |
|    t8680     |  0.0249570324424  |
|    t4390     |  0.0249194098688  |
|    t5457     |  0.0247478036429  |
|    t7923     |  0.0247109538273  |
|    t3086     |  0.0246972613682  |
|    t8189     |  0.0246761834268  |
|    t9379     |  0.0244828706772  |
|    t7317     |  0.0244611448702  |
|    t2304     |  0.0243808074891  |
|    t1198     |  0.0243549067669  |
|     t788     |   0.024350062684  |
|    t4380     |  0.0243480903085  |
|    t3683     |  0.0242617045057  |
|    t1073     |  0.0242509157163  |
|    t3441     |  0.0241732729396  |
|    t3102     |  0.0241559081728  |
|    t11006    |  0.0240931101282  |
|    t4590     |  0.0240363808997  |
|    t5426     |   0.024018224053  |
|     t949     |  0.0239567786051  |
|    t10268    |   0.023895717318  |
|    t3164     |  0.0238730803656  |
|    t7260     |  0.0238375765931  |
|    t1876     |  0.0238203055171  |
|    t4208     |  0.0237165344411  |
|    t8975     |   0.023698669491  |
|    t7973     |  0.0235398001252  |
|     t460     |  0.0235100558679  |
